ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,BEGIN_MONTH,AGES,WORKING_YEAR,STATUS
5066558,F,Y,N,1,180000.0,State servant,Secondary special,Married,Municipal apartment,0,0,0,Core staff,3More,7.0,48,4,X
5150148,F,N,Y,2More,112500.0,Working,Secondary special,Single / not married,House / apartment,0,0,0,Core staff,3More,29.0,33,10,X
5143515,F,N,Y,0,247500.0,Pensioner,Secondary special,Single / not married,House / apartment,0,0,0,Other,1,7.0,63,0,0
5112924,F,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,0,1,0,Managers,2,53.0,48,13,C
5061861,M,N,Y,1,180000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Laborers,3More,7.0,28,2,1
5041697,F,Y,N,0,342000.0,State servant,Higher education,Single / not married,House / apartment,0,0,0,Core staff,1,30.0,33,10,C
5143115,F,N,N,0,202500.0,Pensioner,Secondary special,Married,House / apartment,0,1,0,Other,2,18.0,56,0,X
5092321,F,N,Y,0,202500.0,Working,Secondary special,Married,House / apartment,0,0,0,Laborers,2,30.0,33,5,0
5143300,F,N,Y,0,247500.0,Commercial associate,Higher education,Single / not married,Office apartment,0,0,0,Sales staff,1,9.0,26,3,0
5096926,F,N,N,0,112500.0,Working,Higher education,Married,House / apartment,1,0,0,Core staff,2,3.0,35,1,0
5113061,F,Y,Y,2More,144000.0,Working,Secondary special,Married,House / apartment,0,1,0,Other,3More,17.0,32,7,X
5047658,F,Y,N,1,162000.0,Working,Secondary special,Separated,House / apartment,0,0,0,Sales staff,2,49.0,40,12,C
5068983,M,N,Y,0,112500.0,Working,Higher education,Single / not married,House / apartment,1,1,0,Laborers,1,1.0,40,17,0
5088455,M,Y,Y,1,225000.0,Commercial associate,Secondary special,Married,House / apartment,1,0,0,Drivers,3More,51.0,41,11,X
5113873,F,N,N,0,90000.0,Working,Secondary special,Married,House / apartment,0,0,0,Sales staff,2,15.0,44,2,C
5105262,M,N,Y,0,180000.0,Working,Incomplete higher,Single / not married,House / apartment,0,0,1,Laborers,1,7.0,28,0,0
5061233,M,Y,Y,0,222750.0,Working,Higher education,Married,House / apartment,0,0,0,Drivers,2,54.0,46,3,X
5088777,F,N,Y,0,135000.0,Pensioner,Secondary special,Widow,House / apartment,0,0,0,Other,1,36.0,60,0,C
5041429,F,Y,Y,0,202500.0,State servant,Higher education,Single / not married,House / apartment,0,1,0,Other,1,41.0,60,41,C
5115955,F,Y,Y,0,180000.0,Working,Secondary special,Widow,House / apartment,0,0,0,Sales staff,1,15.0,42,11,C
5036271,F,Y,Y,0,135000.0,Pensioner,Secondary special,Married,House / apartment,0,0,0,Other,2,11.0,57,0,X
5061376,F,Y,Y,0,247500.0,Working,Secondary special,Married,House / apartment,0,0,1,Other,2,44.0,54,7,X
5068991,F,N,N,0,180000.0,Working,Higher education,Separated,House / apartment,1,1,1,Accountants,1,18.0,38,5,C
5029636,F,N,Y,0,135000.0,Commercial associate,Secondary special,Married,House / apartment,0,0,0,Sales staff,2,20.0,39,6,C
5115807,F,N,Y,0,202500.0,Working,Secondary special,Single / not married,House / apartment,1,0,0,Other,1,2.0,29,1,0
5132977,F,N,Y,2More,112500.0,Working,Secondary special,Married,House / apartment,1,0,0,Sales staff,3More,34.0,40,3,C
